Base ;;;Extremo;;;motores;;;;;;;;;;;;;;;
Base X;Base Y;Base Z;Extremo X;Extremo Y;Extremo Z;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
0,000481811;-9,18558E-05;0,000382289;-0,049921262;-0,011026263;0,242866851;800;-800;0;0;0;0;800;-800;0;0;800;-800;800;-800;0;0
2,10962E-05;2,59965E-05;0,000107114;-0,007298214;-9,07512E-05;0,244724059;800;-800;0;0;0;0;800;-800;0;0;800;-800;-800;800;0;0
0,000469567;-0,000106444;0,000380397;-0,040046862;0,003034364;0,24156527;800;-800;0;0;0;0;800;-800;0;0;800;-800;0;0;800;-800
0,000109342;-1,18818E-05;6,1532E-05;-0,023624516;-0,014256056;0,245876277;800;-800;0;0;0;0;800;-800;0;0;800;-800;0;0;-800;800
0,000112148;7,59678E-06;5,80995E-05;-0,023694556;-0,028571388;0,24585347;800;-800;0;0;0;0;800;-800;0;0;-800;800;800;-800;0;0
0,000245544;0,000127189;0,000233303;0,009399432;-0,003448677;0,245523086;800;-800;0;0;0;0;800;-800;0;0;-800;800;-800;800;0;0
0,000100482;7,8176E-07;6,05127E-05;-0,012100127;-0,00753523;0,245019944;800;-800;0;0;0;0;800;-800;0;0;-800;800;0;0;800;-800
0,000113271;7,70445E-06;6,80707E-05;-0,00381193;-0,020102077;0,247336957;800;-800;0;0;0;0;800;-800;0;0;-800;800;0;0;-800;800
0,000485668;-7,865E-05;0,000435033;-0,042281551;-0,014456888;0,244264879;800;-800;0;0;0;0;800;-800;800;-800;0;0;800;-800;0;0
0,000148389;-4,04928E-05;0,000148628;-0,00361814;0,008855057;0,244056087;800;-800;0;0;0;0;800;-800;800;-800;0;0;-800;800;0;0
0,000567537;-0,000163393;0,000444228;-0,030264755;0,004421365;0,241035248;800;-800;0;0;0;0;800;-800;800;-800;0;0;0;0;800;-800
0,000217409;-0,000100992;7,67646E-05;-0,019141601;-0,008904832;0,245010854;800;-800;0;0;0;0;800;-800;800;-800;0;0;0;0;-800;800
0,000465373;-9,06664E-05;0,000383567;-0,036516558;-0,009770571;0,24476182;800;-800;0;0;0;0;800;-800;-800;800;0;0;800;-800;0;0
-0,000181331;0,000119983;2,95025E-05;0,004087855;0,000765295;0,244139539;800;-800;0;0;0;0;800;-800;-800;800;0;0;-800;800;0;0
0,000119478;-2,00064E-05;7,01248E-05;-0,022397756;0,000831664;0,243645571;800;-800;0;0;0;0;800;-800;-800;800;0;0;0;0;800;-800
9,12896E-05;-1,10422E-05;5,8739E-05;-0,008066772;-0,013358977;0,246038455;800;-800;0;0;0;0;800;-800;-800;800;0;0;0;0;-800;800
0,000489971;-8,93693E-05;0,000414373;-0,049627397;-0,010495413;0,242926511;800;-800;0;0;0;0;800;-800;0;0;800;-800;800;-800;0;0
3,44447E-05;4,51197E-05;0,000106189;-0,007758339;0,000398814;0,245653259;800;-800;0;0;0;0;800;-800;0;0;800;-800;-800;800;0;0
0,00045914;-8,80701E-05;0,000390269;-0,040056106;0,00402237;0,241382651;800;-800;0;0;0;0;800;-800;0;0;800;-800;0;0;800;-800
0,000104976;-1,85874E-06;8,16634E-05;-0,024553907;-0,012691873;0,245599059;800;-800;0;0;0;0;800;-800;0;0;800;-800;0;0;-800;800
9,33438E-05;1,53584E-05;6,13299E-05;-0,024163508;-0,027480086;0,245800275;800;-800;0;0;0;0;800;-800;0;0;-800;800;800;-800;0;0
-0,000314723;-4,29455E-05;-5,62386E-05;0,010346088;-0,001782475;0,244251005;800;-800;0;0;0;0;800;-800;0;0;-800;800;-800;800;0;0
7,29288E-05;9,64167E-06;6,40953E-05;-0,012544295;-0,006273923;0,244816862;800;-800;0;0;0;0;800;-800;0;0;-800;800;0;0;800;-800
9,91633E-05;9,16078E-06;5,74271E-05;-0,0034432;-0,018442609;0,245974179;800;-800;0;0;0;0;800;-800;0;0;-800;800;0;0;-800;800
0,000518367;-9,86462E-05;0,000465131;-0,030446117;0,000547165;0,247193137;-800;800;0;0;800;-800;0;0;800;-800;0;0;800;-800;0;0
0,000173519;0,000100557;0,000139471;0,001078337;0,023440664;0,243161541;-800;800;0;0;800;-800;0;0;800;-800;0;0;-800;800;0;0
0,000523173;-9,62745E-05;0,000475311;-0,020168442;0,019558727;0,242044044;-800;800;0;0;800;-800;0;0;800;-800;0;0;0;0;800;-800
0,000160411;2,11068E-05;0,00014737;-0,009931289;0,005559702;0,246595396;-800;800;0;0;800;-800;0;0;800;-800;0;0;0;0;-800;800
3,49787E-05;9,8503E-05;0,000136504;-0,026175686;0,002235484;0,247541791;-800;800;0;0;800;-800;0;0;-800;800;0;0;800;-800;0;0
-0,000107584;0,000277094;4,7411E-05;0,011361874;0,014087246;0,244306567;-800;800;0;0;800;-800;0;0;-800;800;0;0;-800;800;0;0
5,51375E-05;1,41656E-05;0,000404873;-0,014377546;0,015058918;0,24437982;-800;800;0;0;800;-800;0;0;-800;800;0;0;0;0;800;-800
0,000124196;2,67898E-05;0,000136368;-0,003334578;0,001465777;0,246770381;-800;800;0;0;800;-800;0;0;-800;800;0;0;0;0;-800;800
